timestamp,weather_condition,road_condition,location_type,day_of_week,time_of_day,traffic_density,speed_limit,visibility_meters,temperature_celsius,accident_occurred
2023-12-16 23:51:33.150004,clear,wet,intersection,Saturday,23,8,65,7089,23.07360278024801,1
2022-07-25 04:56:27.150004,clear,wet,highway,Monday,4,1,40,9705,7.884821977028011,0
2025-01-12 12:16:35.150004,clear,dry,highway,Sunday,12,5,70,7164,9.40761440444863,0
2024-12-27 11:03:51.150004,clear,dry,intersection,Friday,11,3,35,7519,4.3087552885945986,0
2025-01-25 08:50:05.150004,clear,dry,intersection,Saturday,8,9,65,6542,25.28186471841199,1
2022-11-09 03:13:43.150004,rain,wet,highway,Wednesday,3,3,30,432,7.959377670828253,1
2023-06-14 11:15:04.150004,clear,dry,residential,Wednesday,11,8,55,2021,-0.4641797979380371,0
2024-06-01 12:33:13.150004,snow,icy,intersection,Saturday,12,9,35,563,8.470028558311895,1
2024-03-14 19:24:24.150004,fog,wet,highway,Thursday,19,2,70,398,32.691360391637815,1
2023-05-16 17:38:47.150004,clear,dry,highway,Tuesday,17,10,65,762,26.91260217884617,0
2023-06-12 12:33:52.150004,clear,icy,rural,Monday,12,7,45,3705,6.732042223178194,0
2025-02-15 12:21:41.150004,clear,snowy,highway,Saturday,12,5,30,6291,35.34044824183512,1
2024-03-11 15:40:02.150004,rain,dry,intersection,Monday,15,10,45,1509,-6.258368244126652,1
2024-01-14 15:17:21.150004,clear,dry,highway,Sunday,15,7,40,7810,-7.512310429317839,0
2022-05-25 19:17:02.150004,clear,snowy,residential,Wednesday,19,2,25,9690,-3.6264822607379363,0
2024-02-25 17:45:13.150004,clear,snowy,intersection,Sunday,17,7,35,3698,-4.177262207069845,1
2025-03-13 02:30:03.150004,rain,wet,highway,Thursday,2,1,65,613,-5.608284249382974,1
2023-06-10 11:58:00.150004,rain,wet,intersection,Saturday,11,5,35,1819,23.06713059989962,1
2024-07-02 00:13:02.150004,clear,dry,intersection,Tuesday,0,3,45,2893,20.042118982771193,1
2024-01-23 05:41:07.150004,rain,wet,highway,Tuesday,5,3,45,1910,22.380275529085736,1
2024-02-06 04:50:29.150004,clear,dry,intersection,Tuesday,4,2,25,642,24.4183027081015,0
2023-11-06 19:49:41.150004,clear,dry,residential,Monday,19,7,65,547,27.843987624033993,0
2024-06-16 10:27:14.150004,snow,icy,residential,Sunday,10,7,35,505,0.35884637432051747,1
2024-05-02 15:51:18.150004,clear,dry,highway,Thursday,15,1,65,2499,21.11517566173999,0
2025-02-21 02:50:16.150004,clear,dry,highway,Friday,2,1,25,5462,19.002432966818663,0
2023-07-09 01:44:38.150004,clear,dry,highway,Sunday,1,2,45,7498,37.183001290173685,1
2023-12-06 21:05:30.150004,snow,icy,intersection,Wednesday,21,5,70,480,1.618386211982429,1
2024-06-02 03:04:18.150004,rain,wet,rural,Sunday,3,3,55,1393,-7.06385328128343,0
2024-10-04 10:19:12.150004,rain,wet,rural,Friday,10,5,65,1513,22.67475348572716,0
2024-08-16 10:37:22.150004,rain,dry,intersection,Friday,10,5,45,1158,27.00864201183559,1
2024-12-30 03:41:14.150004,clear,dry,intersection,Monday,3,2,30,3692,4.159800290377532,0
2023-10-26 08:56:37.150004,clear,dry,intersection,Thursday,8,10,45,3705,18.542421546983448,0
2023-12-16 04:49:37.150004,clear,dry,residential,Saturday,4,3,45,9525,-7.023196723292471,0
2023-01-16 08:15:45.150004,clear,dry,residential,Monday,8,8,65,1136,38.00224205841445,0
2024-03-16 17:59:52.150004,clear,wet,residential,Saturday,17,10,55,8072,-4.503751335041569,0
2022-09-11 01:14:12.150004,snow,snowy,residential,Sunday,1,3,25,615,-6.621473192400215,1
2023-11-01 16:07:40.150004,clear,dry,highway,Wednesday,16,10,30,5117,-7.794492025269047,0
2024-12-04 02:19:22.150004,clear,dry,residential,Wednesday,2,3,30,9957,11.363595325167633,0
2023-09-08 17:23:08.150004,clear,dry,residential,Friday,17,9,35,7173,-5.142012827140499,0
2023-07-04 12:41:32.150004,clear,wet,highway,Tuesday,12,3,55,9968,27.232412047778766,0
2025-03-09 04:37:14.150004,snow,dry,highway,Sunday,4,1,70,386,34.943708031320284,1
2023-12-14 19:11:16.150004,clear,dry,residential,Thursday,19,9,40,9149,3.010946616242853,0
2023-11-11 17:24:46.150004,clear,dry,highway,Saturday,17,10,35,3513,21.438655962569946,0
2025-01-07 13:44:35.150004,rain,dry,residential,Tuesday,13,7,35,506,-7.8830776494091115,0
2024-04-17 08:39:28.150004,clear,dry,residential,Wednesday,8,9,70,6471,9.328223584639769,0
2023-06-23 19:09:41.150004,clear,dry,residential,Friday,19,10,35,4517,4.647105671386418,0
2024-12-03 21:38:40.150004,clear,dry,residential,Tuesday,21,7,30,9050,1.4309548220179416,0
2023-02-23 10:40:34.150004,clear,wet,highway,Thursday,10,9,25,2946,22.23617448143495,0
2023-12-01 21:49:25.150004,fog,dry,residential,Friday,21,6,65,99,-3.4886026820731857,1
2024-10-17 09:48:43.150004,rain,wet,highway,Thursday,9,7,70,981,33.03552616484942,1
2022-07-08 08:42:34.150004,clear,dry,intersection,Friday,8,9,45,9392,23.241795318436736,0
2022-06-08 10:46:33.150004,rain,wet,intersection,Wednesday,10,3,30,1231,25.536758934402904,1
2024-01-02 18:04:07.150004,clear,dry,highway,Tuesday,18,10,45,1384,36.76721543288341,0
2024-01-07 07:54:25.150004,clear,dry,highway,Sunday,7,8,70,8759,37.11864357512574,0
2023-08-10 15:40:46.150004,clear,dry,rural,Thursday,15,10,45,7128,17.58261619096179,0
2023-10-08 12:02:04.150004,clear,dry,highway,Sunday,12,8,40,1338,14.768990864299024,0
2024-01-01 01:45:37.150004,clear,dry,highway,Monday,1,3,65,8987,6.769080411345506,1
2023-12-14 22:29:08.150004,rain,wet,intersection,Thursday,22,9,35,556,25.778580510123412,1
2022-10-06 01:55:38.150004,snow,snowy,intersection,Thursday,1,3,40,680,16.910444348990648,1
2023-05-15 21:14:36.150004,clear,dry,residential,Monday,21,10,35,4852,36.64375398700623,0
2022-09-11 02:01:44.150004,clear,dry,intersection,Sunday,2,2,30,747,1.9312974356302668,0
2022-12-29 12:47:24.150004,clear,dry,residential,Thursday,12,4,45,524,5.512634312524536,0
2023-10-04 23:10:18.150004,clear,dry,residential,Wednesday,23,4,40,7746,5.804522370998436,0
2022-09-11 22:49:02.150004,clear,dry,highway,Sunday,22,2,70,6582,30.29992272783535,0
2024-08-20 14:10:24.150004,clear,dry,rural,Tuesday,14,8,70,8752,-5.047983407892383,0
2025-02-22 02:56:24.150004,rain,wet,highway,Saturday,2,3,55,338,12.782456049448985,1
2023-02-12 11:54:15.150004,clear,dry,intersection,Sunday,11,2,30,2994,11.379036848652365,0
2023-07-17 08:33:56.150004,clear,dry,rural,Monday,8,9,30,5682,-6.3430189493120706,0
2025-03-10 05:17:28.150004,clear,wet,rural,Monday,5,3,70,5434,10.539849927217357,1
2024-08-15 21:54:59.150004,clear,icy,intersection,Thursday,21,6,55,1416,15.668899164199065,1
2022-07-17 03:09:09.150004,clear,dry,intersection,Sunday,3,2,35,1111,-6.744765374754338,0
2024-03-19 19:29:42.150004,rain,wet,intersection,Tuesday,19,3,45,1734,15.493106422233367,1
2024-03-23 16:17:16.150004,clear,dry,intersection,Saturday,16,10,35,357,37.96189523417006,0
2022-04-25 17:53:28.150004,rain,wet,rural,Monday,17,9,35,1471,38.945716158076614,0
2025-02-12 00:03:05.150004,clear,dry,highway,Wednesday,0,1,30,9526,16.58398892949056,0
2023-11-05 01:15:44.150004,clear,dry,highway,Sunday,1,1,70,9371,15.754846630147949,0
2023-03-11 22:20:58.150004,clear,wet,rural,Saturday,22,7,35,353,4.275408320819572,0
2022-07-18 02:23:09.150004,rain,wet,highway,Monday,2,1,25,1764,39.85577358560508,1
2022-05-25 09:24:38.150004,clear,dry,highway,Wednesday,9,7,55,5616,3.711458551261302,0
2023-06-16 21:20:57.150004,rain,wet,rural,Friday,21,4,65,1406,12.64506502199782,1
2023-05-20 07:40:13.150004,clear,wet,residential,Saturday,7,8,55,3941,-9.853297109866174,0
2022-06-21 06:44:07.150004,rain,wet,residential,Tuesday,6,2,45,1948,7.461614545456843,1
2024-03-29 06:12:14.150004,clear,dry,highway,Friday,6,9,55,9987,-6.427984969558805,0
2023-09-29 02:47:28.150004,rain,wet,residential,Friday,2,3,70,622,27.191238519256615,1
2022-11-08 06:52:54.150004,clear,dry,intersection,Tuesday,6,1,35,6330,18.050722651496613,0
2023-06-17 21:40:56.150004,snow,snowy,highway,Saturday,21,10,35,496,18.608593864382826,1
2023-01-17 18:52:52.150004,clear,dry,rural,Tuesday,18,10,40,9059,4.325564294985149,0
2024-05-29 09:23:02.150004,clear,dry,intersection,Wednesday,9,7,45,9214,30.74481451264868,0
2023-08-29 08:02:05.150004,clear,dry,residential,Tuesday,8,9,45,4183,-9.83645373343749,0
2023-01-07 23:10:30.150004,rain,wet,highway,Saturday,23,3,55,1031,6.680058958209603,1
2024-04-05 15:19:21.150004,clear,dry,intersection,Friday,15,5,35,154,22.974874522943388,0
2022-12-27 03:06:08.150004,rain,wet,residential,Tuesday,3,3,25,504,35.39612687084605,1
2023-06-13 10:44:36.150004,clear,dry,intersection,Tuesday,10,2,70,7621,1.7307978462616536,0
2023-04-13 23:22:52.150004,clear,dry,residential,Thursday,23,1,70,6651,17.055002586370904,0
2022-12-19 23:05:19.150004,clear,dry,intersection,Monday,23,6,40,6721,16.899571026666052,0
2023-01-13 15:29:57.150004,fog,snowy,rural,Friday,15,3,25,68,33.70871845218499,1
2024-03-31 20:31:19.150004,rain,wet,intersection,Sunday,20,7,70,1606,-7.474155522007883,1
2023-06-08 14:11:30.150004,snow,icy,intersection,Thursday,14,6,35,325,11.223778053535362,1
2023-11-21 15:33:34.150004,clear,dry,intersection,Tuesday,15,7,45,3013,-0.8767162604034233,0
2024-11-18 01:14:29.150004,rain,wet,rural,Monday,1,2,45,1453,-8.923369985070098,1
2023-09-08 20:42:21.150004,rain,wet,residential,Friday,20,1,65,1050,-2.648452973975859,1
2024-09-05 16:48:55.150004,clear,dry,residential,Thursday,16,10,70,6793,38.823533642409956,0
2023-06-02 10:51:03.150004,rain,dry,highway,Friday,10,3,25,1831,0.7424254760133948,0
2023-05-24 02:32:04.150004,snow,icy,highway,Wednesday,2,3,65,594,36.75153866679,1
2023-11-26 15:46:33.150004,snow,icy,intersection,Sunday,15,3,65,583,0.26271713154708287,1
2025-02-28 07:01:09.150004,rain,wet,highway,Friday,7,7,30,826,36.56476136922422,1
2023-12-31 14:16:18.150004,clear,dry,intersection,Sunday,14,4,70,3236,22.731046760015722,0
2023-01-15 10:00:32.150004,clear,dry,rural,Sunday,10,4,70,2819,-4.339071124903661,0
2022-05-15 14:13:43.150004,fog,wet,residential,Sunday,14,7,35,408,19.095757756328887,1
2024-07-05 05:03:54.150004,clear,wet,highway,Friday,5,1,45,6536,5.925701877013932,1
2023-07-17 10:26:26.150004,rain,wet,intersection,Monday,10,7,55,1915,9.15765779890351,1
2025-02-16 16:25:59.150004,rain,wet,residential,Sunday,16,8,30,1596,12.008547891748652,0
2022-05-12 16:56:50.150004,rain,wet,intersection,Thursday,16,7,45,1301,11.135351126516728,1
2023-01-15 23:29:17.150004,fog,wet,intersection,Sunday,23,3,55,376,23.205444524151446,1
2023-06-29 05:24:54.150004,clear,wet,intersection,Thursday,5,1,45,9390,28.41840342953816,0
2024-08-07 22:44:18.150004,clear,dry,highway,Wednesday,22,6,30,830,6.4588844600560655,0
2023-03-28 10:19:44.150004,clear,dry,residential,Tuesday,10,7,25,4455,36.21819808428449,0
2023-06-08 16:41:03.150004,clear,wet,highway,Thursday,16,8,35,2203,36.923315700943824,0
2023-10-03 02:08:33.150004,clear,dry,intersection,Tuesday,2,2,65,8797,-7.96547814244283,0
2022-09-04 23:40:36.150004,clear,dry,highway,Sunday,23,7,30,3346,-9.254560555849075,0
2023-10-23 15:42:26.150004,rain,wet,residential,Monday,15,2,30,1499,11.253316507553048,0
2024-06-24 04:16:23.150004,snow,icy,intersection,Monday,4,1,65,451,19.532262549382928,1
2022-09-30 18:07:58.150004,clear,dry,intersection,Friday,18,10,70,6346,3.8952373726030807,0
2022-12-18 05:01:46.150004,clear,wet,rural,Sunday,5,2,45,2633,2.970687554288718,0
2024-12-06 19:55:47.150004,snow,icy,rural,Friday,19,6,70,977,23.91669148545953,1
2023-01-10 18:08:40.150004,clear,dry,rural,Tuesday,18,10,55,7619,20.08521423277849,0
2023-12-06 09:38:28.150004,clear,dry,residential,Wednesday,9,10,65,6029,-1.6426562503445172,0
2023-09-30 21:12:47.150004,clear,dry,intersection,Saturday,21,10,30,1219,34.22504816325794,1
2022-04-17 13:04:57.150004,clear,dry,intersection,Sunday,13,3,70,3312,23.99880350805349,0
2024-11-05 22:12:09.150004,clear,dry,highway,Tuesday,22,7,35,7086,8.128812458450415,0
2024-05-27 06:57:06.150004,fog,wet,highway,Monday,6,9,65,231,24.181234499557497,1
2024-12-30 01:24:26.150004,clear,dry,rural,Monday,1,2,65,4072,-4.367345661609203,0
2022-08-13 18:10:31.150004,clear,dry,residential,Saturday,18,10,25,8442,13.412806228702802,0
2022-09-14 13:31:54.150004,clear,dry,residential,Wednesday,13,3,55,1940,-1.5507795220220348,0
2022-10-28 11:22:59.150004,clear,snowy,intersection,Friday,11,1,70,8253,-7.928437693578169,1
2022-07-14 10:28:39.150004,rain,wet,rural,Thursday,10,3,25,704,6.916313514414988,0
2023-06-28 12:01:04.150004,rain,wet,residential,Wednesday,12,10,70,806,-2.463225825960837,1
2024-12-17 13:36:10.150004,rain,wet,intersection,Tuesday,13,2,25,1821,21.675897847691235,1
2022-10-12 07:44:10.150004,clear,dry,rural,Wednesday,7,7,35,7357,23.70339470088551,0
2023-01-22 01:15:22.150004,snow,icy,intersection,Sunday,1,1,45,488,-2.565384688669833,1
2024-07-29 00:38:44.150004,rain,wet,intersection,Monday,0,2,55,806,-8.769349719828686,1
2024-06-10 23:20:42.150004,rain,wet,residential,Monday,23,1,55,1558,29.64052808175802,0
2023-05-12 19:22:03.150004,clear,dry,residential,Friday,19,3,70,5016,-9.897148963571885,0
2022-08-28 00:18:35.150004,clear,dry,intersection,Sunday,0,3,65,415,7.195654459189434,0
2022-12-10 19:15:01.150004,clear,dry,highway,Saturday,19,7,35,8101,14.72916490228349,0
2025-01-16 09:57:35.150004,rain,wet,rural,Thursday,9,9,70,1203,30.93210942692164,0
2022-07-15 08:28:32.150004,clear,dry,residential,Friday,8,7,55,8402,31.92793213730703,0
2022-06-21 12:25:29.150004,clear,dry,residential,Tuesday,12,5,30,8416,26.24697203052277,0
2022-07-26 01:09:14.150004,snow,snowy,intersection,Tuesday,1,1,40,545,2.3598811269948925,1
2023-07-25 16:42:02.150004,snow,snowy,intersection,Tuesday,16,9,65,608,26.009346715958543,1
2025-02-14 09:39:56.150004,snow,snowy,intersection,Friday,9,8,40,756,2.326959893847084,1
2024-12-30 19:36:59.150004,clear,dry,intersection,Monday,19,7,40,594,0.7304095865850826,0
2025-02-08 23:28:05.150004,rain,wet,intersection,Saturday,23,3,25,1471,17.35639771152662,1
2023-09-10 00:24:19.150004,clear,snowy,intersection,Sunday,0,3,70,1811,23.942722191703126,1
2024-08-03 23:08:41.150004,clear,wet,highway,Saturday,23,1,55,1006,-7.34741170441597,0
2025-03-27 17:19:27.150004,clear,dry,highway,Thursday,17,10,70,8693,-6.998869943769578,0
2024-06-14 12:18:37.150004,clear,dry,residential,Friday,12,9,65,8226,29.208534340839492,0
2024-10-15 04:29:04.150004,clear,dry,intersection,Tuesday,4,3,35,7841,32.97486254827399,0
2023-11-15 10:51:16.150004,rain,wet,highway,Wednesday,10,5,55,1916,20.2220458170947,1
2024-11-10 17:50:12.150004,clear,dry,intersection,Sunday,17,7,35,1286,11.441400485344296,0
2023-07-31 09:54:32.150004,rain,wet,highway,Monday,9,10,70,1516,32.26582397995929,1
2025-04-08 23:36:31.150004,clear,dry,intersection,Tuesday,23,7,55,6327,26.44085163876651,0
2022-07-02 22:05:18.150004,clear,wet,rural,Saturday,22,4,65,496,18.97970992156343,0
2023-04-15 00:18:21.150004,clear,dry,residential,Saturday,0,2,70,2215,5.9878560974381685,0
2024-04-15 05:50:51.150004,clear,wet,highway,Monday,5,3,65,1669,-0.10024691715918799,1
2023-06-14 20:27:11.150004,clear,wet,intersection,Wednesday,20,4,25,1843,10.933651963575784,1
2022-11-27 18:16:04.150004,clear,dry,highway,Sunday,18,8,65,9415,4.341128798010578,0
2022-10-29 07:01:44.150004,clear,dry,residential,Saturday,7,7,30,6055,6.962929386723047,0
2024-08-13 15:23:21.150004,clear,dry,intersection,Tuesday,15,6,40,695,15.781552765601624,0
2023-06-02 10:37:09.150004,clear,dry,highway,Friday,10,6,40,428,-1.5453021524195112,1
2023-05-29 09:38:28.150004,snow,dry,residential,Monday,9,10,55,630,30.308834003691274,1
2023-06-04 01:40:57.150004,clear,dry,residential,Sunday,1,3,25,7159,-2.723526914261628,0
2023-08-03 08:03:02.150004,rain,wet,residential,Thursday,8,7,40,1361,14.049681971047619,1
2024-04-12 01:05:32.150004,rain,wet,rural,Friday,1,3,55,1779,27.298566904021833,1
2024-02-14 21:12:53.150004,snow,snowy,rural,Wednesday,21,2,65,837,14.251035384479813,1
2025-03-11 09:08:36.150004,rain,wet,highway,Tuesday,9,8,45,1568,8.051103179431937,1
2022-06-29 23:00:13.150004,clear,dry,highway,Wednesday,23,4,55,5486,13.744565291137548,0
2024-07-19 10:09:48.150004,rain,wet,residential,Friday,10,4,35,236,32.43353494370702,0
2023-12-08 23:41:16.150004,snow,dry,residential,Friday,23,1,40,413,39.52158491419788,1
2023-05-06 21:11:08.150004,clear,dry,rural,Saturday,21,4,40,437,21.557164464471775,0
2022-12-17 05:06:53.150004,clear,wet,intersection,Saturday,5,1,45,3073,29.67220213243504,1
2025-01-13 15:11:53.150004,clear,dry,highway,Monday,15,9,65,4785,-9.275565692035567,0
2022-08-15 11:06:08.150004,rain,wet,intersection,Monday,11,3,30,419,34.018220476228635,0
2024-10-03 09:51:09.150004,rain,wet,intersection,Thursday,9,8,70,839,37.70248799639591,1
2022-09-14 03:00:18.150004,clear,dry,intersection,Wednesday,3,3,55,2821,18.758467087878525,1
2022-10-04 17:29:30.150004,clear,dry,residential,Tuesday,17,7,30,4219,27.690243103010992,0
2023-11-21 04:55:53.150004,clear,wet,intersection,Tuesday,4,2,55,7313,15.637237148003745,0
2024-09-15 06:17:36.150004,clear,dry,residential,Sunday,6,3,45,6285,4.310187022779486,0
2023-12-30 06:10:34.150004,fog,dry,residential,Saturday,6,1,30,192,32.612398599150644,1
2024-12-08 05:04:36.150004,clear,wet,intersection,Sunday,5,2,25,4320,19.84183559979709,1
2024-07-13 08:57:54.150004,clear,dry,intersection,Saturday,8,9,45,5906,18.96915418957035,0
2024-12-22 07:11:46.150004,clear,dry,residential,Sunday,7,7,65,84,22.956610192060317,0
2025-03-24 04:03:23.150004,rain,wet,residential,Monday,4,2,70,1627,32.80015829144242,1
2024-10-19 16:12:32.150004,clear,dry,rural,Saturday,16,10,55,3430,26.595306288548215,0
2023-09-05 18:46:16.150004,rain,dry,rural,Tuesday,18,7,35,1918,0.5562097107872628,0
2022-08-11 03:04:23.150004,clear,dry,rural,Thursday,3,1,65,7593,13.341177220365978,0
2023-06-02 15:47:15.150004,clear,dry,highway,Friday,15,4,65,3226,39.01491659931031,0
2023-05-16 14:50:36.150004,clear,dry,rural,Tuesday,14,9,35,8417,17.728035688138732,0
2023-08-16 23:59:28.150004,clear,dry,residential,Wednesday,23,6,35,2203,36.91226767353993,0
2022-10-19 11:00:37.150004,clear,wet,rural,Wednesday,11,2,55,4737,30.668474315652794,0
2024-11-01 15:57:29.150004,snow,dry,intersection,Friday,15,7,65,503,23.301172090437944,1
2022-12-07 13:54:59.150004,rain,wet,rural,Wednesday,13,3,40,1778,7.468260132987762,1
2024-02-12 20:49:13.150004,fog,snowy,highway,Monday,20,9,45,259,5.21596737627195,1
2024-07-21 19:30:21.150004,clear,dry,residential,Sunday,19,6,45,3708,22.171053264879397,0
2023-10-07 03:49:30.150004,fog,wet,intersection,Saturday,3,1,70,474,11.62806204232054,1
2023-05-01 10:37:45.150004,clear,dry,highway,Monday,10,1,30,6320,29.937681140836354,0
2023-05-24 13:32:04.150004,clear,wet,intersection,Wednesday,13,2,45,5415,28.022836977009796,0
2022-06-15 20:15:12.150004,clear,dry,intersection,Wednesday,20,6,70,2921,5.606524336925714,0
2023-01-13 05:38:04.150004,clear,dry,intersection,Friday,5,1,70,3028,25.136439153088098,0
2024-01-16 00:06:04.150004,rain,wet,residential,Tuesday,0,3,65,1783,14.727509504859203,1
2023-04-10 00:49:13.150004,clear,dry,intersection,Monday,0,2,45,4958,6.164605040699854,0
2022-09-08 13:14:17.150004,clear,wet,highway,Thursday,13,5,65,2009,10.648329638232,0
2024-01-01 21:49:33.150004,rain,wet,intersection,Monday,21,9,30,1023,34.7675933606131,1
2023-12-08 15:46:57.150004,clear,dry,highway,Friday,15,6,45,855,7.975884606127025,0
2024-01-11 15:25:46.150004,clear,wet,intersection,Thursday,15,5,45,3150,4.369963665972902,0
2024-08-10 11:39:29.150004,clear,dry,intersection,Saturday,11,1,70,1625,7.590361035506891,0
